Model,AverageRocauc,AveragePrauc
30_GENConv_res+,0.9818868,0.9810787
25_GENConv_res+,0.985777,0.9849394
30_GATConv_res+,0.6620033,0.5673132
25_GATConv_res+,0.6102418,0.5430177
30_GATv2Conv_res+,0.6975235,0.6001457
25_GATv2Conv_res+,0.6606747,0.5643018
30_TransformerConv_res+,0.9901657,0.9891942
29_TransformerConv_res+,0.9908494,0.9902726
28_TransformerConv_res+,0.9538618,0.9461968
27_TransformerConv_res+,0.9912554,0.990242
26_TransformerConv_res+,0.9737394,0.972349
25_TransformerConv_res+,0.9916137,0.9910938
24_TransformerConv_res+,0.9829825,0.9810558
23_TransformerConv_res+,0.9811435,0.9782376
22_TransformerConv_res+,0.9880669,0.9872519
21_TransformerConv_res+,0.9794208,0.9774531
20_TransformerConv_res+,0.9815704,0.9793183
30_GeneralConv_res+,0.9728258,0.9718141
25_GeneralConv_res+,0.9784953,0.9776249
30_GMMConv_res+,0.9914674,0.9912145
25_GMMConv_res+,0.990712,0.9904548
30_NNConv_res+,0.9349575,0.9334231
25_NNConv_res+,0.9335483,0.9286077
30_GENConv_res,0.9784744,0.9806329
25_GENConv_res,0.9671742,0.9658181
30_GATConv_res,0.4655725,0.4329003
25_GATConv_res,0.5632378,0.4904546
30_GATv2Conv_res,0.42299,0.4111671
25_GATv2Conv_res,0.469991,0.4410807
30_TransformerConv_res,0.4240588,0.4012823
25_TransformerConv_res,0.6529781,0.5744753
30_GeneralConv_res,0.366707,0.350175
25_GeneralConv_res,0.3899567,0.3989679
30_GMMConv_res,0.4868906,0.4198308
25_GMMConv_res,0.583305,0.4874341
30_NNConv_res,0.4642991,0.4383443
25_NNConv_res,0.4652082,0.4422408
3_GENConv_plain,0.4936632,0.4438591
3_GATConv_plain,0.5445917,0.4974309
3_GATv2Conv_plain,0.53402,0.4935811
3_TransformerConv_plain,0.910924,0.8720379
3_GeneralConv_plain,0.6329333,0.5608978
3_GMMConv_plain,0.9748649,0.9760997
3_NNConv_plain,0.4887774,0.4654236
