3az3,253,28710.24,47.85,100.55,-0.159
3az2,253,28710.24,47.85,100.55,-0.159
3az1,253,28710.24,47.85,100.55,-0.159
6vec,422,47921.73,41.39,94.5,-0.425
5bnq,160,18033.21,33.14,73.75,-0.328
5j94,223,24510.55,29.03,64.3,-0.59
4n8w,215,23495.47,31.48,64.88,-0.545
4n79,215,23495.47,31.48,64.88,-0.545
4doh,153,17598.43,55.4,100.13,-0.308
2hfp,282,32423.64,45.76,101.67,-0.174
3b67,249,29010.05,41.47,94.7,-0.01
3b66,249,29010.05,41.47,94.7,-0.01
3b65,249,29010.05,41.47,94.7,-0.01
3b5r,249,29010.05,41.47,94.7,-0.01
3b68,249,29010.05,41.47,94.7,-0.01
5hcl,127,15083.43,41.59,76.77,-0.674
3vhw,263,29768.32,47.55,98.21,-0.191
3h3c,277,32152.33,49.03,93.18,-0.151
1r0e,391,43547.78,27.07,86.32,-0.247
2rah,378,43419.48,45.57,89.55,-0.333
7b2z,383,43508.21,48.26,77.1,-0.457
7qbn,217,23708.71,31.28,64.29,-0.562
7qbm,314,35310.9,35.9,72.04,-0.618
7qbo,314,35310.9,35.9,72.04,-0.618
7qbl,215,23495.47,31.48,64.88,-0.545
4jvj,375,43094.09,45.85,90.27,-0.331
1zw5,355,40726.59,46.78,94.25,-0.263
7b37,383,43508.21,48.26,77.1,-0.457
3n6k,350,40141,47.74,95.6,-0.236
2glq,484,52745.31,33.51,74.65,-0.371
7arg,383,43508.21,48.26,77.1,-0.457
7b3f,383,43492.21,47.76,77.36,-0.45
2q80,301,34957.98,41.73,93.59,-0.429
3n5j,350,40141,47.74,95.6,-0.236
2afx,329,37515.53,57.42,90.76,-0.298
3n5h,350,40141,47.74,95.6,-0.236
2afz,329,37515.53,57.42,90.76,-0.298
2afs,329,37545.55,56.96,90.76,-0.287
2afu,329,37514.54,57.24,90.76,-0.298
2afw,329,37515.53,57.42,90.76,-0.298
1vsn,215,23009.76,30.3,69.53,-0.308
2afm,329,37515.53,57.42,90.76,-0.298
2afo,329,37515.53,57.42,90.76,-0.298
3n3l,350,40141,47.74,95.6,-0.236
3n49,350,40141,47.74,95.6,-0.236
3n46,350,40141,47.74,95.6,-0.236
3n45,350,40141,47.74,95.6,-0.236
2zee,329,37485.5,56.57,90.76,-0.297
2zed,329,37499.53,56.83,91.06,-0.29
3n1w,350,40141,47.74,95.6,-0.236
2zem,329,37528.57,58.41,90.76,-0.298
2zel,329,37471.52,57.42,91.06,-0.282
2zeh,329,37514.54,57.24,90.76,-0.298
2zeg,329,37499.57,56.65,91.95,-0.276
2zef,329,37501.5,56.65,90.76,-0.298
2zep,329,37491.55,57.42,91.95,-0.277
2zeo,329,37529.55,58,90.76,-0.298
2zen,329,37471.52,56.57,91.06,-0.282
1mem,215,23495.47,31.48,64.88,-0.545
1yv5,374,42962.9,45.95,90.51,-0.337
3n1v,350,40141,47.74,95.6,-0.236
4l2x,375,43094.09,45.85,90.27,-0.331
5tdi,215,23479.48,30.33,65.35,-0.533
4x6i,215,23495.47,31.48,64.88,-0.545
4x6h,215,23495.47,31.48,64.88,-0.545
1ayu,215,23495.47,31.48,64.88,-0.545
1ayv,215,23495.47,31.48,64.88,-0.545
5jh3,223,24510.55,29.03,64.3,-0.59
6g31,307,35439.44,42.61,91.76,-0.43
2pjl,247,26984.12,51.46,115.34,0.108
4ers,214,23239.86,57.34,67.38,-0.463
3et7,277,32152.33,49.03,93.18,-0.151
4itf,263,29768.32,47.55,98.21,-0.191
4ite,263,29768.32,47.55,98.21,-0.191
3kpz,259,29355.86,48.13,99.73,-0.185
1nax,252,28430.98,43.67,91.71,-0.065
3cs6,263,29768.32,47.55,98.21,-0.191
3cs4,263,29768.32,47.55,98.21,-0.191
1fbz,104,11871.28,45.84,67.5,-0.652
6pgq,482,54016.14,20.32,71.14,-0.477
1s19,263,29768.32,47.55,98.21,-0.191
1s0z,263,29768.32,47.55,98.21,-0.191
7cx2,358,39760.5,65.63,103.02,0.318
7cx4,358,39760.5,65.63,103.02,0.318
7cx3,358,39760.5,65.63,103.02,0.318
1nav,263,29950.63,55.69,91.22,-0.195
3c4m,539,60218.07,25.8,74.3,-0.529
6nbi,478,54690.19,39.18,86.92,-0.019
6nbh,478,54690.19,39.18,86.92,-0.019
6nbf,478,54690.19,39.18,86.92,-0.019
7b2v,383,43508.21,48.26,77.1,-0.457
5ja7,223,24510.55,29.03,64.3,-0.59
7b2y,383,43508.21,48.26,77.1,-0.457
4x6j,215,23495.47,31.48,64.88,-0.545
5vo4,250,29138.18,42.11,94.32,-0.024
6g32,307,35439.44,42.61,91.76,-0.43
5i4h,106,11666.69,34.01,45.09,-0.848
5n6o,176,19557.6,27.16,95.8,-0.07
4n16,260,29246.06,21.68,76.46,-0.579
7wox,276,31411.57,43.74,105.65,-0.097
5xzf,271,30556.03,51.16,93.87,-0.302
5xzh,271,30556.03,51.16,93.87,-0.302
3fzt,277,32152.33,49.03,93.18,-0.151
3fzs,277,32152.33,49.03,93.18,-0.151
3fzr,277,32152.33,49.03,93.18,-0.151
3fzp,277,32152.33,49.03,93.18,-0.151
2bdf,279,31933.82,42.23,82.83,-0.314
2bdj,279,31933.82,42.23,82.83,-0.314
